Date,DSKY.ME,GAZP.ME,KMAZ.ME,RASP.ME,RUAL.ME,SBER.ME
01.04.2020,90.12000274658203,180.05999755859375,51.0,97.76000213623047,24.7549991607666,184.77999877929688
02.04.2020,90.62000274658203,187.0399932861328,50.599998474121094,99.4000015258789,24.954999923706055,186.9499969482422
03.04.2020,94.41999816894531,189.77000427246094,53.599998474121094,99.0999984741211,24.829999923706055,185.63999938964844
06.04.2020,97.80000305175781,191.10000610351562,54.400001525878906,100.91999816894531,25.7549991607666,190.6999969482422
07.04.2020,98.12000274658203,191.22000122070312,54.599998474121094,98.9800033569336,26.049999237060547,197.6300048828125
08.04.2020,100.0,194.11000061035156,53.70000076293945,100.68000030517578,25.75,200.2899932861328
09.04.2020,101.45999908447266,193.86000061035156,53.900001525878906,101.9800033569336,26.024999618530273,203.61000061035156
10.04.2020,100.36000061035156,192.0,54.20000076293945,101.0999984741211,25.885000228881836,201.99000549316406
13.04.2020,98.0999984741211,188.07000732421875,54.20000076293945,99.4000015258789,25.350000381469727,198.25999450683594
14.04.2020,100.5,190.11000061035156,54.099998474121094,100.77999877929688,26.0049991607666,197.3699951171875
15.04.2020,95.45999908447266,184.25,52.0,98.0999984741211,24.975000381469727,186.07000732421875
16.04.2020,93.0,184.3000030517578,53.099998474121094,100.16000366210938,25.75,188.5
17.04.2020,91.30000305175781,184.67999267578125,53.0,104.5999984741211,25.600000381469727,191.8000030517578
20.04.2020,90.0199966430664,185.50999450683594,52.599998474121094,104.0199966430664,25.704999923706055,189.32000732421875
21.04.2020,88.0,181.9199981689453,51.599998474121094,101.76000213623047,25.4950008392334,186.0500030517578
22.04.2020,87.12000274658203,188.36000061035156,52.900001525878906,105.81999969482422,25.790000915527344,190.1999969482422
23.04.2020,88.0999984741211,188.72999572753906,54.0,104.91999816894531,26.19499969482422,190.94000244140625
24.04.2020,86.81999969482422,185.7100067138672,54.900001525878906,105.45999908447266,25.709999084472656,188.91000366210938
27.04.2020,87.04000091552734,186.2899932861328,55.099998474121094,107.5999984741211,26.049999237060547,188.89999389648438
28.04.2020,88.9800033569336,188.5,55.79999923706055,106.63999938964844,26.149999618530273,192.8000030517578
29.04.2020,91.23999786376953,193.8699951171875,55.5,105.0,26.510000228881836,195.8000030517578
30.04.2020,87.80000305175781,190.0,55.099998474121094,106.04000091552734,26.3700008392334,197.25
04.05.2020,86.5,185.6999969482422,55.099998474121094,105.58000183105469,26.18000030517578,193.69000244140625
05.05.2020,87.22000122070312,190.0,56.0,105.95999908447266,26.43000030517578,194.75
06.05.2020,86.5999984741211,187.0500030517578,55.599998474121094,104.95999908447266,26.170000076293945,195.6999969482422
07.05.2020,86.19999694824219,185.85000610351562,55.29999923706055,105.0,26.0,195.50999450683594
08.05.2020,86.04000091552734,185.33999633789062,56.0,105.31999969482422,25.799999237060547,196.02000427246094
12.05.2020,86.0999984741211,186.1699981689453,55.29999923706055,107.76000213623047,25.790000915527344,191.39999389648438
13.05.2020,85.9000015258789,184.1999969482422,54.29999923706055,106.0,25.350000381469727,187.30999755859375
14.05.2020,83.69999694824219,183.91000366210938,54.20000076293945,105.9800033569336,25.399999618530273,183.80999755859375
15.05.2020,84.19999694824219,183.85000610351562,54.29999923706055,106.33999633789062,25.219999313354492,183.85000610351562
18.05.2020,86.54000091552734,192.5,55.20000076293945,107.12000274658203,25.729999542236328,188.92999267578125
19.05.2020,86.94000244140625,194.1999969482422,54.70000076293945,107.33999633789062,25.799999237060547,189.0
20.05.2020,95.0999984741211,196.74000549316406,55.20000076293945,108.66000366210938,26.264999389648438,193.97999572753906
21.05.2020,94.87999725341797,194.74000549316406,55.400001525878906,107.9000015258789,26.235000610351562,192.39999389648438
22.05.2020,96.12000274658203,194.35000610351562,54.900001525878906,109.0,26.200000762939453,188.89999389648438
25.05.2020,95.95999908447266,197.5500030517578,55.20000076293945,109.5,26.729999542236328,191.0
26.05.2020,97.80000305175781,196.86000061035156,55.599998474121094,110.0999984741211,27.43000030517578,194.0
27.05.2020,96.0,194.72999572753906,55.29999923706055,110.87999725341797,27.69499969482422,198.50999450683594
28.05.2020,97.9800033569336,196.86000061035156,55.5,110.9800033569336,28.299999237060547,205.0
29.05.2020,99.0199966430664,199.9499969482422,55.900001525878906,107.5,27.809999465942383,200.5
01.06.2020,99.04000091552734,198.72000122070312,56.0,109.55999755859375,28.094999313354492,203.66000366210938
02.06.2020,98.05999755859375,201.97000122070312,60.70000076293945,110.30000305175781,28.209999084472656,212.0
03.06.2020,100.04000091552734,208.0,59.400001525878906,110.0,28.0,221.5
04.06.2020,101.19999694824219,201.4600067138672,58.29999923706055,109.22000122070312,26.920000076293945,213.10000610351562
05.06.2020,100.94000244140625,203.0500030517578,60.0,107.0999984741211,27.649999618530273,219.10000610351562
08.06.2020,98.0,204.91000366210938,59.400001525878906,109.87999725341797,27.75,220.3000030517578
09.06.2020,98.5,204.83999633789062,58.0,109.05999755859375,27.799999237060547,217.22999572753906
10.06.2020,98.5199966430664,201.75,58.70000076293945,108.41999816894531,27.594999313354492,212.52999877929688
11.06.2020,97.9000015258789,196.74000549316406,57.29999923706055,107.5,26.770000457763672,208.35000610351562
15.06.2020,98.0999984741211,194.1999969482422,58.599998474121094,107.0199966430664,26.78499984741211,207.32000732421875
16.06.2020,96.80000305175781,196.58999633789062,57.79999923706055,107.86000061035156,27.25,207.75999450683594
17.06.2020,97.4000015258789,195.86000061035156,57.70000076293945,110.9000015258789,26.885000228881836,208.13999938964844
